#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
chivalry_power_holy_castle_province_desc;You will contact the Grand Master of the [From.Society.GetName] to give them land upon which they may build a castle or offer them one of yours in this province. It won't be under your own jurisdiction but they will offer you support when you request men from the order or if you are being besieged.;Vous prendrez contact avec le Grand Maître de [From.Society.GetName] pour leur donner un terrain sur lequel ils pourront construire un château ou leur offrir l'un des vôtres dans cette province. Ce ne sera pas sous votre propre juridiction mais ils vous offriront leur soutien lorsque vous demanderez des hommes de l'Ordre ou si vous êtes assiégé.;;;;;;;;;;;;x
chivalry_power_army_fighter;Raise an Army;Lever une armée;;;;;;;;;;;;x
chivalry_power_army_fighter_desc;Use your glorious deeds to rouse up the peasantry in your demesne to follow your banner, alongside anybody fighting in tournaments.\nThese armies will disband if you are not war.;Utilisez vos actions glorieuses pour réveiller la paysannerie dans votre domaine pour suivre votre bannière, aux côtés de quiconque se bat dans les tournois.\nCes armées se dissoudront si vous n'êtes pas en guerre.;;;;;;;;;;;;x
chivalry_power_army_fighter_power_desc;§PIntrigue Decision§! Spend §Y[From.GetSocietyCurrency]§! to create an army in your capital, every tournaments you have created in your demesne will spawn additional troops.;§PInteigue Décision§! Donner §Y[From.GetSocietyCurrency]§! pour créer une armée dans votre capitale, tous les tournois que vous avez créés dans votre domaine engendreront des troupes supplémentaires.;;;;;;;;;;;;x
chivalry_power_army_holy;Request Military Support;Demande de soutien militaire;;;;;;;;;;;;x
chivalry_power_army_holy_desc;If you are at war with infidels, you may request that a branch of [Root.Society.GetName] help you in your battles. The marshalls from the various holy order's castles in your demesne will send men as well.\nThese armies will disband if you are not war.;Si vous êtes en guerre contre les infidèles, vous pouvez demander qu'une branche de la [Root.Society.GetName] vous aide dans vos batailles. Les maréchaux des différents châteaux de l'ordre saint dans votre domaine enverront aussi des hommes.\nCes armées se dissoudront si vous n'êtes pas en guerre.;;;;;;;;;;;;x
chivalry_power_army_holy_power_desc;§PIntrigue Decision§! Spend §Y[From.GetSocietyCurrency]§! to create an army in your capital, only usable if you are at war with infidels.;§PIntrigue Décision§! Donner §Y[From.GetSocietyCurrency]§! pour créer une armée dans votre capitale, utilisable uniquement si vous êtes en guerre contre les infidèles.;;;;;;;;;;;;x
chivalry_show_decisions_on;- Show [From.Society.GetName]'s Decisions;- Montrer les Décisions de [From.Society.GetName];;;;;;;;;;;;x
chivalry_show_decisions_on_desc;Click to show the Society decisions.;Cliquez pour afficher les décisions de la Société.;;;;;;;;;;;;x
chivalry_show_decisions_off;- Hide [From.Society.GetName]'s Decisions;- Cacher les Décisions de [From.Society.GetName];;;;;;;;;;;;x
chivalry_show_decisions_off_desc;Click to hide the Society decisions.;Cliquez pour masquer les décisions de la Société.;;;;;;;;;;;;x

chivalry_holy_castle;Holy Order Chapter;Chapitre du Saint-Ordre;;;;;;;;;;;;x
chivalry_holy_castle_desc;This province contain a Holy Order enclave which will assist the ruler as long as they control their castle.;Cette province contient une enclave du Saint Ordre qui assistera le souverain tant qu'il contrôlera son château.;;;;;;;;;;;;x


# V replace correcty
EVTOPTC_CHI_3101;*Skip the Duel*;*Passer le Duel*;;;;;;;;;;;;x
EVTOPTB_CHI_3102;*Skip the Duel*;*Passer le Duel*;;;;;;;;;;;;x
chivalry_duel_skip;You will ignore the duel system and the result will be random based on your combat skill and traits.;Vous ignorerez le système de duels et le résultat sera aléatoire en fonction de vos compétences et traits de caractère au combat.;;;;;;;;;;;;x

EVTOPTD_CHI_3732;Trade half of the ducats for boats.;Échanger la moitié des ducats contre des bateaux.;;;;;;;;;;;;x
EVTOPTD_CHI_3735;Trade half of the ducats for boats.;Échanger la moitié des ducats contre des bateaux.;;;;;;;;;;;;x

chivalry_hired_pay_tooltip;You will receive payments based on how many battles and sieges you have won with your army as the leading army and/or with you as a flank leader.\nUnsieging your employer's provinces and attacking the armies of your target's vassals do count. Empty nomad provinces don't.\nYou can see your payments values on the description of your moblization law.\nFailure to participate will hurt your reputation.;Vous recevrez des paiements basés sur le nombre de batailles et de sièges que vous avez gagnés avec votre armée en tant que chef d'armée et/ou avec vous en tant que chef de flanc.\nDélivrer les provinces de votre souverain et attaquer les armées des vassaux de votre cible comptent. Les provinces nomades vides ne le font pas.\nVous pouvez voir la valeur de vos paiements sur la description de votre loi de mobilisation.\nSi vous ne participez pas, votre réputation en souffrira.;;;;;;;;;;;;x
